,airport_code,airport_name,city,coordinates,timezone
0,YKS,"{""en"": ""Yakutsk Airport"", ""ru"": ""Якутск""}","{""en"": ""Yakutsk"", ""ru"": ""Якутск""}","(129.77099609375,62.093299865722656)",Asia/Yakutsk
1,MJZ,"{""en"": ""Mirny Airport"", ""ru"": ""Мирный""}","{""en"": ""Mirnyj"", ""ru"": ""Мирный""}","(114.03900146484375,62.534698486328125)",Asia/Yakutsk
2,KHV,"{""en"": ""Khabarovsk-Novy Airport"", ""ru"": ""Хабаровск-Новый""}","{""en"": ""Khabarovsk"", ""ru"": ""Хабаровск""}","(135.18800354004,48.52799987793)",Asia/Vladivostok
3,PKC,"{""en"": ""Yelizovo Airport"", ""ru"": ""Елизово""}","{""en"": ""Petropavlovsk"", ""ru"": ""Петропавловск-Камчатский""}","(158.45399475097656,53.16790008544922)",Asia/Kamchatka
4,UUS,"{""en"": ""Yuzhno-Sakhalinsk Airport"", ""ru"": ""Хомутово""}","{""en"": ""Yuzhno-Sakhalinsk"", ""ru"": ""Южно-Сахалинск""}","(142.71800231933594,46.88869857788086)",Asia/Sakhalin
5,VVO,"{""en"": ""Vladivostok International Airport"", ""ru"": ""Владивосток""}","{""en"": ""Vladivostok"", ""ru"": ""Владивосток""}","(132.1479949951172,43.39899826049805)",Asia/Vladivostok
6,LED,"{""en"": ""Pulkovo Airport"", ""ru"": ""Пулково""}","{""en"": ""St. Petersburg"", ""ru"": ""Санкт-Петербург""}","(30.262500762939453,59.80030059814453)",Europe/Moscow
7,KGD,"{""en"": ""Khrabrovo Airport"", ""ru"": ""Храброво""}","{""en"": ""Kaliningrad"", ""ru"": ""Калининград""}","(20.592599868774414,54.88999938964844)",Europe/Kaliningrad
8,KEJ,"{""en"": ""Kemerovo Airport"", ""ru"": ""Кемерово""}","{""en"": ""Kemorovo"", ""ru"": ""Кемерово""}","(86.1072006225586,55.27009963989258)",Asia/Novokuznetsk
9,CEK,"{""en"": ""Chelyabinsk Balandino Airport"", ""ru"": ""Челябинск""}","{""en"": ""Chelyabinsk"", ""ru"": ""Челябинск""}","(61.5033,55.305801)",Asia/Yekaterinburg
10,MQF,"{""en"": ""Magnitogorsk International Airport"", ""ru"": ""Магнитогорск""}","{""en"": ""Magnetiogorsk"", ""ru"": ""Магнитогорск""}","(58.755699157714844,53.39310073852539)",Asia/Yekaterinburg
11,PEE,"{""en"": ""Bolshoye Savino Airport"", ""ru"": ""Пермь""}","{""en"": ""Perm"", ""ru"": ""Пермь""}","(56.021198272705,57.914501190186)",Asia/Yekaterinburg
12,SGC,"{""en"": ""Surgut Airport"", ""ru"": ""Сургут""}","{""en"": ""Surgut"", ""ru"": ""Сургут""}","(73.40180206298828,61.34370040893555)",Asia/Yekaterinburg
13,BZK,"{""en"": ""Bryansk Airport"", ""ru"": ""Брянск""}","{""en"": ""Bryansk"", ""ru"": ""Брянск""}","(34.176399231,53.214199066199996)",Europe/Moscow
14,MRV,"{""en"": ""Mineralnyye Vody Airport"", ""ru"": ""Минеральные Воды""}","{""en"": ""Mineralnye Vody"", ""ru"": ""Минеральные Воды""}","(43.08190155029297,44.225101470947266)",Europe/Moscow
15,STW,"{""en"": ""Stavropol Shpakovskoye Airport"", ""ru"": ""Ставрополь""}","{""en"": ""Stavropol"", ""ru"": ""Ставрополь""}","(42.11280059814453,45.10919952392578)",Europe/Moscow
16,ASF,"{""en"": ""Astrakhan Airport"", ""ru"": ""Астрахань""}","{""en"": ""Astrakhan"", ""ru"": ""Астрахань""}","(48.0063018799,46.2832984924)",Europe/Samara
17,NJC,"{""en"": ""Nizhnevartovsk Airport"", ""ru"": ""Нижневартовск""}","{""en"": ""Nizhnevartovsk"", ""ru"": ""Нижневартовск""}","(76.48359680175781,60.94929885864258)",Asia/Yekaterinburg
18,SVX,"{""en"": ""Koltsovo Airport"", ""ru"": ""Кольцово""}","{""en"": ""Yekaterinburg"", ""ru"": ""Екатеринбург""}","(60.802700042725,56.743099212646)",Asia/Yekaterinburg
19,SVO,"{""en"": ""Sheremetyevo International Airport"", ""ru"": ""Шереметьево""}","{""en"": ""Moscow"", ""ru"": ""Москва""}","(37.4146,55.972599)",Europe/Moscow
20,VOZ,"{""en"": ""Voronezh International Airport"", ""ru"": ""Воронеж""}","{""en"": ""Voronezh"", ""ru"": ""Воронеж""}","(39.22959899902344,51.81420135498047)",Europe/Moscow
21,VKO,"{""en"": ""Vnukovo International Airport"", ""ru"": ""Внуково""}","{""en"": ""Moscow"", ""ru"": ""Москва""}","(37.2615013123,55.5914993286)",Europe/Moscow
22,SCW,"{""en"": ""Syktyvkar Airport"", ""ru"": ""Сыктывкар""}","{""en"": ""Syktyvkar"", ""ru"": ""Сыктывкар""}","(50.84510040283203,61.64699935913086)",Europe/Moscow
23,KUF,"{""en"": ""Kurumoch International Airport"", ""ru"": ""Курумоч""}","{""en"": ""Samara"", ""ru"": ""Самара""}","(50.16429901123,53.504901885986)",Europe/Samara
24,DME,"{""en"": ""Domodedovo International Airport"", ""ru"": ""Домодедово""}","{""en"": ""Moscow"", ""ru"": ""Москва""}","(37.90629959106445,55.40879821777344)",Europe/Moscow
25,TJM,"{""en"": ""Roshchino International Airport"", ""ru"": ""Рощино""}","{""en"": ""Tyumen"", ""ru"": ""Тюмень""}","(65.3243026733,57.189601898199996)",Asia/Yekaterinburg
26,GOJ,"{""en"": ""Nizhny Novgorod Strigino International Airport"", ""ru"": ""Стригино""}","{""en"": ""Nizhniy Novgorod"", ""ru"": ""Нижний Новгород""}","(43.784000396729,56.230098724365)",Europe/Moscow
27,TOF,"{""en"": ""Bogashevo Airport"", ""ru"": ""Богашёво""}","{""en"": ""Tomsk"", ""ru"": ""Томск""}","(85.208297729492,56.380298614502)",Asia/Krasnoyarsk
28,UIK,"{""en"": ""Ust-Ilimsk Airport"", ""ru"": ""Усть-Илимск""}","{""en"": ""Ust Ilimsk"", ""ru"": ""Усть-Илимск""}","(102.56500244140625,58.13610076904297)",Asia/Irkutsk
29,NSK,"{""en"": ""Norilsk-Alykel Airport"", ""ru"": ""Норильск""}","{""en"": ""Norilsk"", ""ru"": ""Норильск""}","(87.33219909667969,69.31109619140625)",Asia/Krasnoyarsk
30,ARH,"{""en"": ""Talagi Airport"", ""ru"": ""Талаги""}","{""en"": ""Arkhangelsk"", ""ru"": ""Архангельск""}","(40.71670150756836,64.60030364990234)",Europe/Moscow
31,RTW,"{""en"": ""Saratov Central Airport"", ""ru"": ""Саратов-Центральный""}","{""en"": ""Saratov"", ""ru"": ""Саратов""}","(46.04669952392578,51.564998626708984)",Europe/Volgograd
32,NUX,"{""en"": ""Novy Urengoy Airport"", ""ru"": ""Новый Уренгой""}","{""en"": ""Novy Urengoy"", ""ru"": ""Новый Уренгой""}","(76.52030181884766,66.06939697265625)",Asia/Yekaterinburg
